SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
22060;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
22060;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
22060;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
22060;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
22060;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
28027;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
28027;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
28027;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
28027;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
28027;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
28027;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
28027;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
28027;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
28027;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
28027;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
28027;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
28027;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
28027;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
28027;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;