SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
021608;MAKROINDO;arnottspt;06007;402500;C;Y;N;;A;makroptasb;;;;
021608;MAKROINDO;arnottspt;00091;467600;C;Y;N;;A;makroxdock;;;;
021608;MAKROINDO;arnottspt;06009;467600;C;Y;N;;A;makroptdpb;;;;
021608;MAKROINDO;arnottspt;06004;402300;C;Y;N;;A;makroptmyb;;;;
021608;MAKROINDO;arnottspt;06017;467600;C;Y;N;;A;makroptbjb;;;;
021680;MAKROINDO;danoneaqua;06009;950088076;I;Y;N;;A;makroptdpb;;;;
021996;MAKROINDO;nestlept;06019;06D01;I;N;N;;A;makroptslb;;;;
021996;MAKROINDO;nestlept;06D01;06D01;I;N;N;;A;makroxdocl;;;;
021996;MAKROINDO;nestlept;06016;06D01;I;N;N;;A;makroptygb;;;;
021996;MAKROINDO;nestlept;06001;06D01;I;N;N;;A;makrobaru;;;;
021996;MAKROINDO;nestlept;06030;06D01;I;N;N;;A;makroptpknsari;;;;
021996;MAKROINDO;nestlept;06005;06D01;I;N;N;;A;makroptbdb;;;;
021996;MAKROINDO;nestlept;06036;06D01;I;N;N;;A;makroptcmhi;;;;
021996;MAKROINDO;nestlept;06021;06D01;I;N;N;;A;makroptjtb;;;;
021996;MAKROINDO;nestlept;06008;06D01;I;N;N;;A;makroptcbb;;;;
021996;MAKROINDO;nestlept;06027;06D01;I;N;N;;A;makropttsk;;;;
021996;MAKROINDO;nestlept;06004;06D01;I;N;N;;A;makroptmyb;;;;
021996;MAKROINDO;nestlept;06015;06D01;I;N;N;;A;makroptprb;;;;
021996;MAKROINDO;nestlept;06032;06D01;I;N;N;;A;makroptsmd;;;;
021996;MAKROINDO;nestlept;06038;06D01;I;N;N;;A;makropttegal;;;;
021996;MAKROINDO;nestlept;06031;06D01;I;N;N;;A;makroptlmp;;;;
021996;MAKROINDO;nestlept;06024;06D01;I;N;N;;A;makroptcrb;;;;
021996;MAKROINDO;nestlept;06037;06D01;I;N;N;;A;makroptmtrm;;;;
021996;MAKROINDO;nestlept;06018;06D01;I;N;N;;A;makroptbkb;;;;
021996;MAKROINDO;nestlept;06026;06D01;I;N;N;;A;makroptbgr;;;;
021996;MAKROINDO;nestlept;06028;06D01;I;N;N;;A;makropttri;;;;
021996;MAKROINDO;nestlept;06017;06D01;I;N;N;;A;makroptbjb;;;;
021996;MAKROINDO;nestlept;06014;06D01;I;N;N;;A;makroptpbb;;;;
021996;MAKROINDO;nestlept;06009;06D01;I;N;N;;A;makroptdpb;;;;
021996;MAKROINDO;nestlept;06013;06D01;I;N;N;;A;makroptmkb;;;;
021996;MAKROINDO;nestlept;06033;06D01;I;N;N;;A;makroptmnd;;;;
021996;MAKROINDO;nestlept;06023;06D01;I;N;N;;A;makroptckb;;;;
021996;MAKROINDO;nestlept;06002;06D01;I;N;N;;A;makroptsdb;;;;
021996;MAKROINDO;nestlept;06022;06D01;I;N;N;;A;makroptsrg;;;;
021996;MAKROINDO;nestlept;06011;06D01;I;N;N;;A;makroptsmb;;;;
021996;MAKROINDO;nestlept;06010;06D01;I;N;N;;A;makroptmdb;;;;
021996;MAKROINDO;nestlept;06006;06D01;I;N;N;;A;makroptcpb;;;;
021996;MAKROINDO;nestlept;06003;06D01;I;N;N;;A;makroptkgb;;;;
021996;MAKROINDO;nestlept;06039;06D01;I;N;N;;A;makropttgerang;;;;
021996;MAKROINDO;nestlept;06007;06D01;I;N;N;;A;makroptasb;;;;
021996;MAKROINDO;nestlept;06020;06D01;I;N;N;;A;makroptbpb;;;;
